SampleID	marker	SRA_accession	BioSample_accession	BioProject_accession
WOF01_summer	12S	SRR7549802	SAMN09702179	PRJNA482277
WOF02_summer	12S	SRR7549801	SAMN09702180	PRJNA482277
WOF03_summer	12S	SRR7549996	SAMN09702181	PRJNA482277
WOF04_summer	12S	SRR7549995	SAMN09702182	PRJNA482277
WOF05_summer	12S	SRR7549798	SAMN09702183	PRJNA482277
WOF06_summer	12S	SRR7549797	SAMN09702184	PRJNA482277
WOF07_summer	12S	SRR7549796	SAMN09702185	PRJNA482277
WOF08_summer	12S	SRR7549795	SAMN09702186	PRJNA482277
WOF09_summer_0m	12S	SRR7550019	SAMN09702187	PRJNA482277
WOF09_summer_mid	12S	SRR7550018	SAMN09702188	PRJNA482277
WOF09_summer_40m	12S	SRR7550047	SAMN09702189	PRJNA482277
WOF10_summer_0m	12S	SRR7550046	SAMN09702190	PRJNA482277
WOF10_summer_mid	12S	SRR7550049	SAMN09702191	PRJNA482277
WOF11_summer_0m	12S	SRR7550048	SAMN09702192	PRJNA482277
WOF11_summer_mid	12S	SRR7550043	SAMN09702193	PRJNA482277
WOF11_summer_60m	12S	SRR7550042	SAMN09702194	PRJNA482277
WOF12_summer_0m	12S	SRR7550045	SAMN09702195	PRJNA482277
WOF12_summer_mid	12S	SRR7550044	SAMN09702196	PRJNA482277
WOF12_summer_40m	12S	SRR7550041	SAMN09702197	PRJNA482277
WOF13_summer_0m	12S	SRR7550040	SAMN09702198	PRJNA482277
WOF13_summer_mid	12S	SRR7549929	SAMN09702199	PRJNA482277
WOF13_summer_40m	12S	SRR7549930	SAMN09702200	PRJNA482277
WOF14_summer_0m	12S	SRR7549931	SAMN09702201	PRJNA482277
WOF14_summer_mid	12S	SRR7549932	SAMN09702202	PRJNA482277
WOF14_summer_30m	12S	SRR7549933	SAMN09702203	PRJNA482277
WOF15_summer_mid	12S	SRR7549934	SAMN09702204	PRJNA482277
WOF17_summer	12S	SRR7549935	SAMN09702205	PRJNA482277
WOF18_summer	12S	SRR7549936	SAMN09702206	PRJNA482277
WOF19_summer	12S	SRR7549937	SAMN09702207	PRJNA482277
WOF20_summer	12S	SRR7549938	SAMN09702208	PRJNA482277
WOF21_summer	12S	SRR7549818	SAMN09702209	PRJNA482277
WOF22_summer	12S	SRR7549817	SAMN09702210	PRJNA482277
WOF23_summer	12S	SRR7549816	SAMN09702211	PRJNA482277
WOF24_summer	12S	SRR7549815	SAMN09702212	PRJNA482277
WOF25_summer_mid	12S	SRR7549814	SAMN09702213	PRJNA482277
WOF26_summer_0m	12S	SRR7549813	SAMN09702214	PRJNA482277
WOF26_summer_mid	12S	SRR7549812	SAMN09702215	PRJNA482277
WOF26_summer_25m	12S	SRR7549811	SAMN09702216	PRJNA482277
WOF27_summer_0m	12S	SRR7549820	SAMN09702217	PRJNA482277
WOF27_summer_mid	12S	SRR7549819	SAMN09702218	PRJNA482277
WOF27_summer_30m	12S	SRR7549787	SAMN09702219	PRJNA482277
WOF28_summer_0m	12S	SRR7549788	SAMN09702220	PRJNA482277
WOF28_summer_mid	12S	SRR7549785	SAMN09702221	PRJNA482277
WOF28_summer_40m	12S	SRR7549786	SAMN09702222	PRJNA482277
WOF29_summer_mid	12S	SRR7549791	SAMN09702223	PRJNA482277
WOF30_summer_0m	12S	SRR7549792	SAMN09702224	PRJNA482277
WOF30_summer_mid	12S	SRR7549789	SAMN09702225	PRJNA482277
WOF30_summer_30m	12S	SRR7549790	SAMN09702226	PRJNA482277
WOF31_summer_0m	12S	SRR7549793	SAMN09702227	PRJNA482277
WOF31_summer_mid	12S	SRR7549794	SAMN09702228	PRJNA482277
WOF31_summer_30m	12S	SRR7550083	SAMN09702229	PRJNA482277
WOF32_summer_mid	12S	SRR7550082	SAMN09702230	PRJNA482277
WOF33_summer	12S	SRR7550085	SAMN09702231	PRJNA482277
WOF34_summer	12S	SRR7550084	SAMN09702232	PRJNA482277
WOF36_summer	12S	SRR7550087	SAMN09702233	PRJNA482277
WOF37_summer	12S	SRR7550086	SAMN09702234	PRJNA482277
WOF38_summer	12S	SRR7550089	SAMN09702235	PRJNA482277
WOF39_summer	12S	SRR7550088	SAMN09702236	PRJNA482277
WOF40_summer	12S	SRR7550091	SAMN09702237	PRJNA482277
WOF41_summer	12S	SRR7550090	SAMN09702238	PRJNA482277
WOF42_summer	12S	SRR7549985	SAMN09702239	PRJNA482277
WOF43_summer	12S	SRR7549986	SAMN09702240	PRJNA482277
WOF44_summer	12S	SRR7549987	SAMN09702241	PRJNA482277
WOF45_summer	12S	SRR7549988	SAMN09702242	PRJNA482277
WOF46_summer	12S	SRR7549981	SAMN09702243	PRJNA482277
WOF47_summer	12S	SRR7549982	SAMN09702244	PRJNA482277
WOF48_summer	12S	SRR7549983	SAMN09702245	PRJNA482277
WOF49_summer	12S	SRR7549984	SAMN09702246	PRJNA482277
WOF50_summer	12S	SRR7549989	SAMN09702247	PRJNA482277
WSH01_summer	12S	SRR7549990	SAMN09702248	PRJNA482277
WSH02_summer	12S	SRR7549875	SAMN09702249	PRJNA482277
WSH03_summer	12S	SRR7549874	SAMN09702250	PRJNA482277
WSH04_summer	12S	SRR7549873	SAMN09702251	PRJNA482277
WSH05_summer	12S	SRR7549872	SAMN09702252	PRJNA482277
WSH06_summer	12S	SRR7549879	SAMN09702253	PRJNA482277
WSH07_summer	12S	SRR7549878	SAMN09702254	PRJNA482277
WSH08_summer	12S	SRR7549877	SAMN09702255	PRJNA482277
WSH09_summer	12S	SRR7549876	SAMN09702256	PRJNA482277
WSH10_summer	12S	SRR7549870	SAMN09702257	PRJNA482277
WSH11_summer	12S	SRR7549869	SAMN09702258	PRJNA482277
WSH12_summer	12S	SRR7549886	SAMN09702259	PRJNA482277
WSH13_summer	12S	SRR7549887	SAMN09702260	PRJNA482277
WSH14_summer	12S	SRR7549884	SAMN09702261	PRJNA482277
WSH15_summer	12S	SRR7549885	SAMN09702262	PRJNA482277
WSH16_summer	12S	SRR7549882	SAMN09702263	PRJNA482277
WSH17_summer	12S	SRR7549883	SAMN09702264	PRJNA482277
WSH18_summer	12S	SRR7549880	SAMN09702265	PRJNA482277
WSH20_summer	12S	SRR7549881	SAMN09702266	PRJNA482277
WSH21_summer	12S	SRR7550060	SAMN09702267	PRJNA482277
WSH22_summer	12S	SRR7550061	SAMN09702268	PRJNA482277
WSH23_summer	12S	SRR7550092	SAMN09702269	PRJNA482277
WSH24_summer	12S	SRR7550001	SAMN09702270	PRJNA482277
WSH25_summer	12S	SRR7550094	SAMN09702271	PRJNA482277
WSH26_summer	12S	SRR7550093	SAMN09702272	PRJNA482277
WSH27_summer	12S	SRR7549998	SAMN09702273	PRJNA482277
WSH28_summer	12S	SRR7549997	SAMN09702274	PRJNA482277
WSH29_summer	12S	SRR7550000	SAMN09702275	PRJNA482277
WSH30_summer	12S	SRR7549999	SAMN09702276	PRJNA482277
WSH31_summer	12S	SRR7549948	SAMN09702277	PRJNA482277
WSH32_summer	12S	SRR7549947	SAMN09702278	PRJNA482277
WSH33_summer	12S	SRR7549807	SAMN09702279	PRJNA482277
WSH34_summer	12S	SRR7549808	SAMN09702280	PRJNA482277
WSH35_summer	12S	SRR7549809	SAMN09702281	PRJNA482277
WSH36_summer	12S	SRR7549810	SAMN09702282	PRJNA482277
WSH37_summer	12S	SRR7549803	SAMN09702283	PRJNA482277
WSH38_summer	12S	SRR7549804	SAMN09702284	PRJNA482277
WSH39_summer	12S	SRR7549805	SAMN09702285	PRJNA482277
WSH40_summer	12S	SRR7549806	SAMN09702286	PRJNA482277
WOF01_winter	12S	SRR8135236	SAMN09702287	PRJNA482277
WOF02_winter	12S	SRR8135235	SAMN09702288	PRJNA482277
WOF03_winter	12S	SRR8135234	SAMN09702289	PRJNA482277
WOF04_winter	12S	SRR8135233	SAMN09702290	PRJNA482277
WOF05_winter	12S	SRR8135312	SAMN09702291	PRJNA482277
WOF06_winter	12S	SRR8135311	SAMN09702292	PRJNA482277
WOF07_winter	12S	SRR8135230	SAMN09702293	PRJNA482277
WOF08_winter	12S	SRR8135229	SAMN09702294	PRJNA482277
WOF09_winter_mid	12S	SRR8135309	SAMN09702295	PRJNA482277
WOF10_winter_mid	12S	SRR8135191	SAMN09702296	PRJNA482277
WOF11_winter_mid	12S	SRR8135296	SAMN09702297	PRJNA482277
WOF12_winter_mid	12S	SRR8135295	SAMN09702298	PRJNA482277
WOF13_winter_mid	12S	SRR8135298	SAMN09702299	PRJNA482277
WOF14_winter_mid	12S	SRR8135297	SAMN09702300	PRJNA482277
WOF15_winter_mid	12S	SRR8135292	SAMN09702301	PRJNA482277
WOF17_winter	12S	SRR8135291	SAMN09702302	PRJNA482277
WOF18_winter	12S	SRR8135294	SAMN09702303	PRJNA482277
